"ID","participant","Sustainability","Security","Accessibility","CorpSusFreq","CorpSecFreq","CorpAccFreq"
"COP21_UK188","2",0,2,0,1,0,0
"COP21_UK230","2",0,0,0,2,0,0
"COP21_UK305","2",10,7,7,27,2,2
"COP21_UK37","2",3,0,0,2,0,0
"COP21_UK40","2",8,2,2,15,0,0
"COP21_UK58","2",0,2,2,5,0,0
"COP22_UK100","2",3,0,0,0,0,0
"COP22_UK113","2",3,0,3,1,2,0
"COP22_UK178","2",5,2,3,3,1,1
"COP22_UK182","2",10,7,8,13,0,0
"COP22_UK199","2",5,5,5,13,4,0
"COP22_UK281","2",8,2,8,8,0,0
"COP22_UK357","2",8,5,8,26,17,0
"COP22_UK68","2",4,0,0,9,0,0
"COP23_UK11","2",1,0,0,7,0,0
"COP23_UK171","2",6,3,1,4,2,0
"COP23_UK23","2",2,1,1,2,0,0
"COP23_UK248","2",0,0,0,2,0,0
"COP23_UK301","2",10,3,5,1,0,0
"COP23_UK79","2",0,0,0,0,0,0
"COP24_UK196","2",0,2,0,4,0,0
"COP24_UK2","2",8,10,8,3,4,0
"COP24_UK213","2",0,0,0,3,0,0
"COP24_UK256","2",5,0,0,15,1,0
"COP24_UK261","2",9,2,4,8,6,0
"COP24_UK321","2",3,0,0,2,0,1
"COP24_UK95","2",9,6,6,14,1,3
"COP25_UK18","2",0,0,0,4,0,0
"COP25_UK192","2",0,0,0,0,0,0
"COP25_UK2","2",0,1,1,0,0,0
"COP25_UK241","2",0,0,0,0,0,0
"COP25_UK55","2",5,4,3,11,1,2
"COP26_UK219","2",3,1,0,8,0,0
"COP26_UK227","2",8,0,7,5,0,0
"COP26_UK23","2",2,2,2,15,0,0
"COP26_UK262","2",0,0,0,1,0,0
"COP26_UK299","2",0,0,0,5,0,0
"COP26_UK333","2",0,0,0,1,0,0
"COP26_UK6","2",2,0,0,0,1,0
"COP26_UK72","2",0,0,0,22,1,0
"COP21_UK104","3",2,0,0,10,2,0
"COP21_UK131","3",8,4,8,8,0,0
"COP21_UK188","3",2,1,1,1,0,0
"COP21_UK238","3",3,9,7,5,2,4
"COP21_UK305","3",7,7,7,27,2,2
"COP21_UK334","3",3,0,0,9,3,0
"COP21_UK353","3",0,0,0,3,0,0
"COP21_UK40","3",10,0,0,15,0,0
"COP22_UK100","3",4,2,3,0,0,0
"COP22_UK132","3",0,0,0,0,0,0
"COP22_UK140","3",9,2,0,2,0,0
"COP22_UK169","3",8,8,8,6,0,2
"COP22_UK214","3",8,8,7,7,2,0
"COP22_UK283","3",8,0,3,2,1,1
"COP22_UK289","3",0,0,0,0,0,0
"COP22_UK9","3",5,8,8,13,3,3
"COP23_UK118","3",2,0,0,2,0,0
"COP23_UK171","3",5,5,3,4,2,0
"COP23_UK18","3",8,6,8,16,1,2
"COP23_UK28","3",1,0,0,4,0,0
"COP23_UK79","3",0,0,0,0,0,0
"COP23_UK8","3",0,2,2,0,1,0
"COP23_UK87","3",8,0,3,7,2,0
"COP24_UK152","3",1,0,0,5,2,0
"COP24_UK224","3",5,4,3,14,2,0
"COP24_UK230","3",8,4,6,9,0,1
"COP24_UK73","3",3,1,1,13,1,0
"COP25_UK133","3",2,4,5,0,0,0
"COP25_UK14","3",6,5,5,8,2,0
"COP25_UK2","3",0,0,0,0,0,0
"COP25_UK288","3",2,2,0,4,0,0
"COP25_UK298","3",10,0,3,5,1,2
"COP25_UK335","3",3,0,0,6,0,0
"COP25_UK339","3",1,0,0,0,0,0
"COP25_UK56","3",5,0,2,7,0,0
"COP25_UK75","3",2,0,2,3,0,0
"COP26_UK213","3",6,0,3,17,2,0
"COP26_UK299","3",5,0,0,5,0,0
"COP26_UK30","3",5,0,0,4,0,0
"COP26_UK345","3",3,0,0,1,0,0
"COP21_UK147","4",1,0,0,1,0,0
"COP21_UK188","4",2,0,0,1,0,0
"COP21_UK228","4",4,0,0,1,2,0
"COP21_UK283","4",1,0,0,4,1,1
"COP21_UK305","4",7,2,1,27,2,2
"COP21_UK312","4",7,3,1,22,0,1
"COP21_UK336","4",1,0,0,2,0,0
"COP21_UK40","4",7,0,0,15,0,0
"COP21_UK62","4",7,3,3,9,2,0
"COP22_UK100","4",2,0,0,0,0,0
"COP22_UK191","4",3,0,0,1,0,0
"COP22_UK235","4",4,0,0,6,0,1
"COP22_UK245","4",8,1,0,16,0,1
"COP22_UK358","4",2,0,0,7,0,0
"COP22_UK38","4",3,5,8,1,4,0
"COP22_UK98","4",5,0,0,2,0,0
"COP23_UK159","4",6,8,3,13,1,1
"COP23_UK171","4",6,0,0,4,2,0
"COP23_UK177","4",4,0,0,5,0,0
"COP23_UK203","4",3,0,0,4,0,1
"COP23_UK47","4",1,0,0,2,1,1
"COP23_UK79","4",4,0,0,0,0,0
"COP24_UK106","4",6,4,1,17,2,1
"COP24_UK170","4",1,0,0,1,0,0
"COP24_UK260","4",5,0,1,4,0,0
"COP24_UK31","4",3,0,0,7,1,0
"COP24_UK33","4",5,0,0,9,0,0
"COP25_UK155","4",0,0,0,0,0,0
"COP25_UK2","4",1,1,1,0,0,0
"COP25_UK260","4",0,0,0,0,0,21
"COP25_UK353","4",3,2,1,20,1,1
"COP25_UK65","4",5,0,1,4,1,1
"COP25_UK86","4",2,0,0,3,0,0
"COP26_UK122","4",0,0,0,0,0,0
"COP26_UK135","4",8,0,0,16,0,2
"COP26_UK160","4",2,0,0,7,0,0
"COP26_UK206","4",7,2,2,10,1,0
"COP26_UK208","4",5,0,0,7,0,1
"COP26_UK233","4",4,0,0,3,0,1
"COP26_UK299","4",5,0,0,5,0,0
"COP21_UK188","5",0,1,3,1,0,0
"COP21_UK305","5",7,3,7,27,2,2
"COP21_UK40","5",4,0,0,15,0,0
"COP21_UK65","5",2,1,2,10,2,1
"COP21_UK96","5",2,0,1,7,0,1
"COP21_UK99","5",0,0,0,1,0,0
"COP22_UK100","5",1,0,1,0,0,0
"COP22_UK118","5",0,0,1,3,0,0
"COP22_UK136","5",0,0,0,0,0,0
"COP22_UK197","5",4,0,7,13,4,0
"COP22_UK55","5",0,0,0,2,3,0
"COP22_UK56","5",0,0,1,1,0,1
"COP22_UK67","5",2,0,0,4,0,0
"COP23_UK138","5",2,0,0,5,3,0
"COP23_UK153","5",1,0,0,0,1,0
"COP23_UK171","5",5,0,2,4,2,0
"COP23_UK263","5",6,0,0,40,1,2
"COP23_UK35","5",4,0,8,10,3,0
"COP23_UK79","5",1,0,3,0,0,0
"COP24_UK107","5",3,3,1,19,1,1
"COP24_UK148","5",0,0,0,0,1,0
"COP24_UK163","5",0,0,0,0,0,0
"COP24_UK181","5",0,0,0,0,0,0
"COP24_UK253","5",5,0,3,9,0,1
"COP24_UK292","5",5,0,4,4,3,0
"COP24_UK319","5",0,0,0,0,0,0
"COP24_UK43","5",4,0,6,8,0,1
"COP25_UK190","5",1,0,0,2,0,0
"COP25_UK2","5",0,0,2,0,0,0
"COP25_UK230","5",1,0,1,1,4,2
"COP25_UK278","5",2,0,0,6,1,0
"COP25_UK33","5",0,0,0,0,0,0
"COP26_UK119","5",2,0,4,9,3,3
"COP26_UK162","5",1,0,0,6,0,0
"COP26_UK195","5",0,0,0,2,0,0
"COP26_UK210","5",2,0,2,1,0,0
"COP26_UK299","5",1,0,0,5,0,0
"COP26_UK315","5",2,0,0,6,1,1
"COP26_UK39","5",3,4,5,19,5,0
"COP26_UK45","5",2,0,3,10,1,1
"COP21_UK188","6",1,0,0,1,0,0
"COP21_UK269","6",9,5,3,4,0,0
"COP21_UK305","6",10,4,10,27,2,2
"COP21_UK331","6",1,0,1,3,0,0
"COP21_UK40","6",10,0,0,15,0,0
"COP21_UK44","6",0,0,0,0,2,0
"COP21_UK85","6",8,1,6,17,0,2
"COP22_UK100","6",3,0,0,0,0,0
"COP22_UK148","6",10,10,10,18,0,0
"COP22_UK152","6",10,1,10,26,1,0
"COP22_UK16","6",6,2,6,3,0,0
"COP22_UK294","6",7,3,7,4,0,3
"COP22_UK297","6",5,1,1,5,0,0
"COP22_UK326","6",3,0,2,16,2,0
"COP22_UK338","6",10,2,6,1,2,0
"COP22_UK342","6",10,2,7,6,1,0
"COP22_UK391","6",10,0,0,4,6,1
"COP23_UK133","6",0,0,0,3,6,0
"COP23_UK171","6",3,1,2,4,2,0
"COP23_UK176","6",0,0,0,0,0,0
"COP23_UK179","6",10,6,10,14,2,2
"COP23_UK183","6",9,0,8,11,2,0
"COP23_UK191","6",1,0,0,4,1,0
"COP23_UK38","6",5,0,0,8,0,1
"COP23_UK79","6",0,0,0,0,0,0
"COP23_UK80","6",6,0,0,5,1,0
"COP24_UK244","6",10,10,6,20,1,0
"COP24_UK278","6",8,0,1,10,1,1
"COP24_UK284","6",7,1,1,16,0,0
"COP25_UK136","6",4,0,0,2,4,0
"COP25_UK2","6",0,1,3,0,0,0
"COP25_UK248","6",10,2,10,11,0,1
"COP25_UK284","6",10,8,9,17,3,1
"COP25_UK351","6",5,0,0,5,0,0
"COP25_UK6","6",10,0,4,3,0,0
"COP26_UK146","6",8,0,0,19,1,1
"COP26_UK150","6",0,0,0,2,0,0
"COP26_UK181","6",0,0,0,1,0,0
"COP26_UK190","6",3,0,0,2,0,0
"COP26_UK299","6",7,0,0,5,0,0
"COP21_UK188","7",1,1,1,1,0,0
"COP21_UK233","7",0,0,0,2,0,0
"COP21_UK304","7",2,0,0,1,0,0
"COP21_UK305","7",7,1,5,27,2,2
"COP21_UK315","7",6,0,0,11,4,0
"COP21_UK340","7",0,0,0,2,0,0
"COP21_UK40","7",7,0,0,15,0,0
"COP21_UK48","7",5,5,5,1,3,1
"COP21_UK81","7",3,3,5,11,6,0
"COP22_UK100","7",3,2,0,0,0,0
"COP22_UK111","7",5,4,0,8,1,0
"COP22_UK290","7",0,0,0,0,3,0
"COP22_UK70","7",6,2,4,18,1,1
"COP23_UK171","7",5,4,3,4,2,0
"COP23_UK173","7",0,0,0,0,0,0
"COP23_UK210","7",1,0,0,14,0,1
"COP23_UK237","7",0,0,0,2,0,0
"COP23_UK257","7",4,1,1,3,0,0
"COP23_UK7","7",5,3,3,7,2,1
"COP23_UK79","7",1,1,1,0,0,0
"COP23_UK90","7",1,1,1,2,0,0
"COP24_UK10","7",8,6,2,24,20,0
"COP24_UK151","7",3,3,3,3,2,1
"COP24_UK161","7",7,2,0,24,0,0
"COP24_UK185","7",1,0,0,1,0,1
"COP24_UK295","7",5,1,3,25,2,1
"COP24_UK54","7",4,0,0,0,0,0
"COP24_UK97","7",0,0,0,1,1,3
"COP25_UK122","7",1,0,0,3,0,0
"COP25_UK16","7",5,0,1,9,0,0
"COP25_UK2","7",1,1,1,0,0,0
"COP25_UK21","7",2,7,1,19,7,0
"COP25_UK219","7",0,0,0,0,0,0
"COP25_UK303","7",6,3,1,4,0,0
"COP25_UK322","7",1,0,0,1,0,0
"COP26_UK165","7",4,3,1,6,0,0
"COP26_UK246","7",1,0,0,0,0,0
"COP26_UK299","7",3,1,1,5,0,0
"COP26_UK322","7",5,2,1,1,1,0
"COP26_UK40","7",0,0,0,0,0,0
"COP21_UK158","8",6,5,0,25,16,1
"COP21_UK188","8",7,0,0,1,0,0
"COP21_UK223","8",3,0,0,2,0,0
"COP21_UK242","8",5,0,0,2,0,0
"COP21_UK25","8",8,0,0,7,1,0
"COP21_UK266","8",6,0,0,1,0,0
"COP21_UK305","8",8,5,3,27,2,2
"COP21_UK350","8",3,0,0,2,0,0
"COP21_UK40","8",7,0,0,15,0,0
"COP21_UK92","8",6,0,0,3,0,0
"COP22_UK100","8",4,0,0,0,0,0
"COP22_UK131","8",8,1,7,18,1,0
"COP22_UK21","8",8,0,1,3,3,1
"COP22_UK240","8",8,0,0,8,2,0
"COP22_UK253","8",8,0,0,4,1,0
"COP22_UK87","8",6,8,3,19,4,1
"COP23_UK160","8",7,0,0,2,1,0
"COP23_UK171","8",7,0,0,4,2,0
"COP23_UK200","8",3,0,0,11,0,0
"COP23_UK222","8",2,0,1,4,0,0
"COP23_UK45","8",6,0,0,5,1,0
"COP23_UK5","8",6,0,0,2,0,0
"COP23_UK79","8",5,0,0,0,0,0
"COP23_UK82","8",6,0,0,13,3,0
"COP24_UK104","8",6,2,0,4,2,0
"COP24_UK66","8",6,0,0,2,0,0
"COP24_UK87","8",7,0,0,12,0,0
"COP25_UK169","8",8,0,0,2,2,0
"COP25_UK2","8",8,0,0,0,0,0
"COP25_UK26","8",0,3,1,11,0,0
"COP25_UK336","8",0,0,0,0,0,0
"COP25_UK41","8",7,0,0,5,2,0
"COP25_UK61","8",2,0,0,4,0,0
"COP25_UK84","8",8,0,0,5,0,1
"COP26_UK243","8",0,0,0,1,1,0
"COP26_UK299","8",8,0,0,5,0,0
"COP26_UK321","8",8,0,0,7,0,0
"COP26_UK324","8",7,0,0,0,0,0
"COP26_UK59","8",6,0,2,8,1,1
"COP26_UK60","8",7,0,2,7,3,0
"COP21_UK127","9",2,4,3,15,0,0
"COP21_UK148","9",6,7,8,2,0,0
"COP21_UK188","9",0,2,3,1,0,0
"COP21_UK210","9",0,2,1,1,2,0
"COP21_UK231","9",0,0,0,2,0,0
"COP21_UK305","9",6,7,8,27,2,2
"COP21_UK306","9",8,3,7,7,1,0
"COP21_UK40","9",5,3,5,15,0,0
"COP21_UK42","9",2,3,3,4,0,0
"COP21_UK86","9",2,9,10,2,2,0
"COP22_UK100","9",0,0,2,0,0,0
"COP22_UK2","9",2,3,3,4,4,0
"COP22_UK237","9",5,4,2,5,0,0
"COP23_UK156","9",7,4,8,20,0,3
"COP23_UK171","9",5,9,8,4,2,0
"COP23_UK194","9",1,5,3,4,0,0
"COP23_UK39","9",0,0,0,0,0,0
"COP23_UK79","9",5,10,5,0,0,0
"COP23_UK86","9",7,4,5,9,1,0
"COP23_UK99","9",0,8,6,2,0,0
"COP24_UK100","9",0,0,0,2,0,0
"COP24_UK197","9",0,0,0,0,0,0
"COP24_UK250","9",8,8,4,15,5,0
"COP24_UK285","9",2,0,10,16,2,2
"COP24_UK286","9",6,9,5,12,2,0
"COP24_UK30","9",4,3,6,11,0,0
"COP24_UK327","9",4,8,8,8,10,0
"COP24_UK77","9",0,5,7,10,0,0
"COP24_UK84","9",8,4,9,6,2,1
"COP25_UK111","9",7,9,10,7,1,0
"COP25_UK135","9",7,8,2,11,15,0
"COP25_UK2","9",1,0,5,0,0,0
"COP25_UK252","9",2,0,2,3,0,1
"COP25_UK253","9",3,6,5,8,0,0
"COP25_UK39","9",0,0,6,3,0,0
"COP26_UK276","9",0,3,3,7,0,1
"COP26_UK299","9",2,7,0,5,0,0
"COP26_UK344","9",1,2,0,2,0,0
"COP26_UK57","9",2,3,3,6,0,0
"COP26_UK99","9",0,0,0,0,0,0
"COP21_UK188","10",1,0,0,1,0,0
"COP21_UK305","10",8,3,10,27,2,2
"COP21_UK311","10",1,0,0,3,0,0
"COP21_UK343","10",0,0,0,2,0,0
"COP21_UK344","10",1,0,0,2,0,0
"COP21_UK40","10",10,0,0,15,0,0
"COP21_UK43","10",3,3,0,2,1,0
"COP21_UK80","10",1,0,0,2,0,0
"COP22_UK100","10",0,0,0,0,0,0
"COP22_UK145","10",10,5,10,6,0,0
"COP22_UK167","10",6,7,0,13,0,0
"COP22_UK18","10",1,0,0,4,0,0
"COP22_UK190","10",3,3,3,9,1,1
"COP22_UK193","10",0,0,0,0,0,0
"COP22_UK225","10",0,0,0,2,2,0
"COP22_UK28","10",1,0,0,0,0,0
"COP22_UK63","10",0,0,0,2,0,0
"COP23_UK104","10",6,9,2,26,24,0
"COP23_UK165","10",3,1,0,4,6,2
"COP23_UK168","10",0,0,0,0,0,0
"COP23_UK171","10",8,5,3,4,2,0
"COP23_UK75","10",0,1,0,2,0,1
"COP23_UK79","10",0,0,0,0,0,0
"COP24_UK202","10",0,0,0,0,0,0
"COP24_UK234","10",3,0,0,8,2,0
"COP24_UK236","10",7,3,0,7,0,0
"COP25_UK175","10",0,0,0,0,0,0
"COP25_UK185","10",4,9,0,1,0,0
"COP25_UK2","10",0,0,1,0,0,0
"COP25_UK308","10",3,0,2,0,0,0
"COP25_UK325","10",2,0,0,9,0,0
"COP25_UK53","10",3,2,0,3,0,0
"COP25_UK59","10",0,0,0,3,0,0
"COP26_UK125","10",0,0,0,0,0,0
"COP26_UK145","10",0,0,0,0,0,0
"COP26_UK158","10",1,0,0,2,0,0
"COP26_UK291","10",3,0,0,3,0,0
"COP26_UK299","10",5,2,0,5,0,0
"COP26_UK303","10",10,2,0,6,0,0
"COP26_UK308","10",3,4,0,5,0,0
"COP21_UK100","11",10,9,10,16,2,0
"COP21_UK188","11",1,1,1,1,0,0
"COP21_UK255","11",8,0,0,2,0,0
"COP21_UK26","11",8,8,8,4,0,0
"COP21_UK305","11",8,7,9,27,2,2
"COP21_UK40","11",8,0,0,15,0,0
"COP21_UK7","11",10,5,6,4,0,1
"COP22_UK100","11",9,0,2,0,0,0
"COP22_UK131","11",10,7,7,18,1,0
"COP22_UK192","11",9,9,8,16,1,4
"COP22_UK225","11",0,0,0,2,2,0
"COP22_UK273","11",8,5,5,14,2,0
"COP22_UK294","11",9,8,8,4,0,3
"COP22_UK342","11",5,0,7,6,1,0
"COP22_UK55","11",8,0,5,2,3,0
"COP22_UK9","11",9,8,9,13,3,3
"COP23_UK118","11",10,0,0,2,0,0
"COP23_UK156","11",10,8,10,20,0,3
"COP23_UK171","11",10,4,7,4,2,0
"COP23_UK79","11",3,0,0,0,0,0
"COP24_UK253","11",8,2,4,9,0,1
"COP24_UK269","11",10,7,0,14,5,2
"COP24_UK77","11",10,0,0,10,0,0
"COP25_UK166","11",7,0,5,2,0,0
"COP25_UK2","11",4,0,7,0,0,0
"COP25_UK221","11",6,2,0,2,2,0
"COP25_UK223","11",9,5,3,12,1,1
"COP25_UK322","11",4,2,3,1,0,0
"COP25_UK61","11",3,3,0,4,0,0
"COP25_UK86","11",8,0,0,3,0,0
"COP26_UK125","11",0,0,0,0,0,0
"COP26_UK165","11",10,3,9,6,0,0
"COP26_UK190","11",10,0,0,2,0,0
"COP26_UK23","11",8,1,8,15,0,0
"COP26_UK244","11",0,1,0,0,0,0
"COP26_UK276","11",4,2,0,7,0,1
"COP26_UK299","11",8,0,0,5,0,0
"COP26_UK99","11",0,0,0,0,0,0
"COP21_UK157","12",5,3,1,14,10,1
"COP21_UK188","12",2,2,1,1,0,0
"COP21_UK241","12",3,0,0,3,0,0
"COP21_UK284","12",2,0,0,2,0,1
"COP21_UK305","12",5,4,1,27,2,2
"COP21_UK332","12",6,2,1,2,0,0
"COP21_UK344","12",1,0,0,2,0,0
"COP21_UK40","12",6,5,1,15,0,0
"COP21_UK47","12",5,3,3,4,0,0
"COP22_UK100","12",2,0,0,0,0,0
"COP22_UK140","12",3,2,0,2,0,0
"COP22_UK16","12",4,6,6,3,0,0
"COP22_UK18","12",1,3,2,4,0,0
"COP22_UK374","12",1,4,1,1,1,0
"COP22_UK38","12",5,5,4,1,4,0
"COP22_UK63","12",1,1,0,2,0,0
"COP23_UK149","12",2,0,0,4,0,0
"COP23_UK159","12",4,7,3,13,1,1
"COP23_UK171","12",5,3,1,4,2,0
"COP23_UK195","12",3,0,0,4,0,0
"COP23_UK24","12",1,1,1,10,0,2
"COP23_UK47","12",3,2,1,2,1,1
"COP23_UK5","12",2,0,0,2,0,0
"COP23_UK58","12",4,3,1,3,0,0
"COP23_UK7","12",3,3,2,7,2,1
"COP23_UK79","12",1,0,0,0,0,0
"COP23_UK80","12",3,1,1,5,1,0
"COP23_UK99","12",0,2,0,2,0,0
"COP24_UK244","12",8,8,5,20,1,0
"COP24_UK265","12",0,0,0,1,0,0
"COP24_UK297","12",2,5,2,10,0,0
"COP24_UK84","12",3,2,1,6,2,1
"COP25_UK2","12",0,1,0,0,0,0
"COP25_UK355","12",3,4,3,7,2,0
"COP26_UK112","12",1,1,0,2,0,0
"COP26_UK207","12",4,1,0,3,0,1
"COP26_UK246","12",0,1,1,0,0,0
"COP26_UK299","12",3,2,0,5,0,0
"COP26_UK306","12",4,2,0,1,0,0
"COP26_UK45","12",7,4,2,10,1,1
