"COP","country","accessibility","security","sustainability","beforeAcc","duringAcc","afterAcc","beforeSec","duringSec","afterSec","beforeSus","duringSus","afterSus","docs","totalWords"
"COP21","Australia",1628.01325259911,3815.83457100423,13595.3387410031,129,76,80,284,174,210,1257,492,631,373,175060
"COP21","Bangladesh",5463.61023148978,6346.55088858351,12088.9844854713,438,120,265,293,207,456,686,445,690,217,150633
"COP21","Canada",1636.20751438443,3245.37027646498,11088.3484445887,143,50,49,241,119,120,795,423,422,259,147903
"COP21","China",4182.88858812193,6277.11776140269,13300.5831537086,266,183,302,378,280,469,855,664,869,366,179541
"COP21","Hong.Kong",2796.24681538557,3417.63499658237,13981.2340769279,22,16,7,7,19,28,69,81,75,27,16093
"COP21","India",5039.92918399787,6044.10770885485,15657.5703638838,359,451,249,402,414,454,1028,1339,923,453,210122
"COP21","Ireland",2161.00050741725,3713.10031937438,10560.2483359699,108,132,122,179,217,226,436,738,595,271,167515
"COP21","Nigeria",4230.11844331641,4938.20348708894,9223.49738836166,95,105,260,103,121,313,187,226,590,137,108744
"COP21","South.Africa",4838.17150483817,4734.46419392365,11993.9759579399,560,184,329,429,218,403,1153,675,832,321,221778
"COP21","UAE",5701.38772780471,4681.49138939977,19386.3902357465,230,130,322,156,114,290,583,555,1181,230,119620
"COP21","UK",4781.47908712782,6751.39968042155,16527.8167424954,185,370,180,193,469,343,683,1004,759,359,163966
"COP21","USA",3353.84444814014,5842.89594766894,12910.9152392039,150,289,150,195,512,280,549,1103,559,327,180390
"COP22","Australia",1687.7387262014,2427.97500962307,8112.98966630149,13,13,29,20,16,13,68,92,70,39,33773
"COP22","Bangladesh",5214.46205671304,7060.28933342563,15043.4923052075,105,19,102,108,49,149,256,96,300,80,43341
"COP22","Canada",2428.22033524157,3046.31278421215,8255.94913982134,69,64,32,86,90,31,185,259,117,107,67951
"COP22","China",3296.52801162646,8702.12501993868,14568.5270191234,70,81,35,201,216,74,411,291,120,142,56423
"COP22","Hong.Kong",1243.78109452736,5597.01492537313,13681.592039801,2,0,0,1,0,8,4,0,18,2,1608
"COP22","India",4725.29272493535,7738.16319135946,17719.8477185076,363,319,270,596,567,396,1161,1324,1085,442,201469
"COP22","Ireland",1195.66145699889,3757.79315056794,8284.2258092066,8,4,2,18,18,8,23,61,13,15,11709
"COP22","Nigeria",3307.98986261171,6909.4304388422,9550.48686141123,63,31,30,95,121,43,94,174,90,59,37485
"COP22","South.Africa",5459.24157633155,6907.21246037647,13540.4844832309,71,133,75,142,106,105,239,229,224,74,51106
"COP22","UAE",6612.31543750235,4996.80655220348,22654.6943682609,75,111,166,72,56,138,292,387,527,71,53234
"COP22","UK",5299.04750769385,6226.06763906346,15429.4566910392,294,518,268,469,659,259,1126,1401,772,403,239477
"COP22","USA",4391.35049636829,6628.64991987346,12726.5916044038,175,388,270,283,658,304,522,1207,654,307,192196
"COP23","Australia",1213.64132853271,4085.92580606012,10396.8607144302,6,17,6,45,42,13,93,125,39,48,24719
"COP23","Bangladesh",3045.6434950817,7202.53529242293,12635.3047701362,8,37,29,77,75,23,89,152,66,45,24297
"COP23","Canada",2581.38969873664,4282.06997084548,19982.9931972789,6,32,45,31,81,29,107,353,194,59,32928
"COP23","China",4805.11037621188,6246.64348907544,14443.5964837898,52,36,82,106,45,70,141,114,256,77,35379
"COP23","Hong.Kong",5331.30236100533,2284.84386900228,16755.5217060168,0,0,7,0,2,1,0,3,19,5,1313
"COP23","India",4191.92120583779,6823.71002472287,16727.8092351862,189,378,274,268,782,319,698,1721,937,415,200624
"COP23","Ireland",2742.58848112838,4832.17970484524,19981.7160767925,3,14,4,1,7,29,32,63,58,17,7657
"COP23","Nigeria",8649.0939044481,7207.57825370675,15753.7067545305,25,11,48,38,11,21,60,29,64,17,9712
"COP23","South.Africa",7958.09920927513,7144.49162238438,11492.2071648318,136,120,57,96,128,57,97,288,67,49,39331
"COP23","UAE",3427.08579532026,5672.41786811628,17135.4289766013,16,0,13,21,6,21,78,8,59,14,8462
"COP23","UK",4538.85332925098,5751.14505711839,14804.0266290429,165,314,264,347,474,340,763,1353,877,303,241691
"COP23","USA",3688.56310497134,6231.7921248003,14525.1856028569,90,353,183,214,527,305,512,1258,681,287,170256
"COP24","Australia",1878.06023207459,4762.22415990342,13632.70507747,34,33,45,92,111,81,190,345,278,83,59636
"COP24","Bangladesh",2982.96064208764,5944.46113567106,13906.1762307395,39,8,92,103,23,151,243,52,353,58,46598
"COP24","Canada",1137.36998385108,1953.49806386636,7484.06813801247,45,32,54,85,67,72,232,393,228,142,115178
"COP24","China",3609.29393187458,5951.86451265856,12059.9003973694,61,74,73,105,120,118,186,351,158,99,57629
"COP24","Hong.Kong",2379.33378653977,3399.04826648538,13936.0978925901,3,4,0,6,4,0,20,21,0,5,2942
"COP24","India",4349.78462231482,7212.10244282403,16845.4442223411,200,461,264,410,721,404,779,1822,961,428,213114
"COP24","Ireland",1231.4548759749,2902.71506479798,10848.5310502551,2,21,19,10,58,31,18,243,109,56,34106
"COP24","Nigeria",4571.60540715421,6611.24474265378,8158.55734199828,146,86,93,223,115,132,239,207,134,87,71091
"COP24","South.Africa",3622.43841854689,6665.28669012627,13516.8702132064,62,66,47,120,117,85,160,316,177,53,48310
"COP24","UAE",2610.4959942389,4230.80385273202,9226.75308308579,16,13,29,18,13,63,70,80,55,23,22218
"COP24","UK",3805.41191826899,5622.77222752146,15899.3925397861,133,362,205,279,490,285,722,1388,843,332,199190
"COP24","USA",2922.46052321471,5868.48927645534,14145.6516615602,139,291,185,273,622,330,582,1564,795,306,212150
"COP25","Australia",2813.61105663884,3393.38545618867,12345.7842727668,49,47,120,84,72,227,383,213,819,119,117287
"COP25","Bangladesh",2687.46722600944,5069.0438734487,11623.8419856668,29,16,78,39,42,151,94,69,369,73,45768
"COP25","Canada",1883.58341810783,2765.76805696846,9568.92166836215,48,122,67,76,138,134,317,586,301,175,125824
"COP25","China",2634.66805791053,4382.41815573236,11921.2208164862,67,68,63,71,122,130,225,365,304,150,76670
"COP25","Hong.Kong",2146.22978966948,5150.95149520675,9586.49306052368,1,8,6,1,4,31,0,24,43,10,6989
"COP25","India",3892.14314101567,5572.54678347416,16881.792891331,171,441,289,225,594,471,639,1933,1336,437,231492
"COP25","Ireland",2079.68151163136,3119.52226744704,12359.2501262664,20,21,29,23,29,53,60,188,168,69,33659
"COP25","Nigeria",5373.11940820713,4923.27685310141,10296.3962613085,73,56,86,59,48,90,105,115,192,65,40014
"COP25","South.Africa",6276.62595853451,4458.96052257881,12382.8457824482,20,67,134,11,76,70,37,239,160,49,35210
"COP25","UAE",3534.28254064425,3079.87478541856,18782.1872159952,8,29,33,13,28,20,47,153,172,31,19806
"COP25","UK",2399.510927709,3693.51469764125,11788.6800142646,119,170,161,147,293,232,505,956,688,355,196290
"COP25","USA",2632.46615895477,5172.56508426201,12612.745754571,73,290,145,131,599,304,339,1430,705,343,216527
"COP26","Australia",1554.33093118553,4144.88248316142,18534.2188309547,43,169,179,198,389,456,792,1873,1961,363,254772
"COP26","Bangladesh",3665.56767266886,3949.61535210077,14942.9368501141,121,147,251,221,162,256,936,690,784,437,295725
"COP26","Canada",1805.22318177089,3438.76807824368,15341.7958589117,80,129,138,163,241,257,701,1185,1063,286,192220
"COP26","China",3379.77815396636,3971.6832597398,18858.0966699419,244,126,161,225,219,198,1103,996,940,301,168946
"COP26","Hong.Kong",2424.80727916087,3522.68419057248,16065.3355238216,54,106,97,92,164,174,375,769,822,95,126608
"COP26","India",3408.65164985768,4537.54787925642,18633.3766735777,121,223,432,191,336,506,697,1406,2139,461,227656
"COP26","Ireland",1187.61319438259,3028.4136456756,11820.4625753392,44,135,78,159,326,195,679,1352,663,483,269448
"COP26","Nigeria",5063.96102118652,4638.16249688255,15845.7879401692,163,362,600,158,311,609,638,1101,1711,472,328794
"COP26","South.Africa",3366.81714795329,3836.92713986464,17411.3531563047,221,223,474,251,298,482,1200,1327,2170,433,289294
"COP26","UAE",3132.87232296417,4256.85271218252,17484.139387841,299,152,425,397,226,567,1623,910,2352,406,280254
"COP26","UK",1416.04188849493,3293.12067091845,12409.576394911,9,36,196,36,126,401,146,455,1502,355,182198
"COP26","USA",2153.2585717766,5108.09515202477,15956.9033941328,48,136,218,100,292,428,331,895,1387,361,254498
"COP27","Australia",4273.39394648083,1914.97859506479,7341.00438425314,117,297,2400,226,404,622,591,862,3360,398,658493
"COP27","Bangladesh",3328.67592668694,4698.50141092025,10876.4143448125,185,104,49,120,167,104,357,316,215,239,146004
"COP27","Canada",2385.17755261702,4302.8603049211,13958.0590379148,31,105,55,65,193,101,185,754,263,379,104814
"COP27","China",4538.6376193859,4222.90630673297,13661.0173313938,418,212,160,305,283,138,1108,859,415,312,177366
"COP27","Hong.Kong",3107.10639620045,4882.59576545785,16867.1490079453,11,49,7,11,49,34,88,91,170,24,22529
"COP27","India",4668.05881841121,5490.29844253023,17615.0700426346,239,551,283,286,629,338,764,2288,986,404,229860
"COP27","Ireland",1783.24161646509,3351.8810899745,9692.86345683175,69,152,38,150,265,94,315,918,263,331,195711
"COP27","Nigeria",5222.69316763371,4595.14697611895,12417.184478005,594,314,174,337,348,102,1094,743,244,458,291612
"COP27","South.Africa",3890.6232319131,4669.4135110129,15652.3533444716,413,363,252,447,481,313,1563,1583,1048,444,300466
"COP27","UAE",3798.85300500806,4759.9243724204,18634.3001128822,663,318,106,767,378,217,2672,2041,619,401,286139
"COP27","UK",2724.0892612451,4098.47870725093,11484.793244917,202,369,67,205,467,268,746,1384,557,414,243017
"COP27","USA",3422.79202034803,5048.40376936044,12863.3499611826,209,324,141,207,467,278,601,1219,629,356,233143
