"","COP","country","hope","despair","beforeHope","duringHope","afterHope","beforeDespair","duringDespair","afterDespair","docs","totalWords"
"1","ALL","Australia",339.94591082841,12.84240107574,0,0,0,0,0,0,1423,1323740
"2","ALL","Bangladesh",446.591153773562,7.97484203167076,0,0,0,0,0,0,1149,752366
"3","ALL","Canada",505.83489447369,27.9607228101035,0,0,0,0,0,0,1407,786818
"4","ALL","China",615.729153645037,10.6389486590935,0,0,0,0,0,0,1447,751954
"5","ALL","Hong.Kong",370.615783740075,33.6923439763704,0,0,0,0,0,0,168,178082
"6","ALL","India",308.385782028703,7.26390493001228,0,0,0,0,0,0,3040,1514337
"7","ALL","Ireland",700.189634692729,47.2350150387952,0,0,0,0,0,0,1242,719805
"8","ALL","Nigeria",339.173273596769,9.01457205572808,0,0,0,0,0,0,1295,887452
"9","ALL","South.Africa",432.270077473757,23.338525309616,0,0,0,0,0,0,1423,985495
"10","ALL","UAE",210.197623753851,3.79875223651538,0,0,0,0,0,0,1176,789733
"11","ALL","UK",439.341833187909,18.4196110187478,0,0,0,0,0,0,2521,1465829
"12","ALL","USA",448.888401546095,10.9652128621947,0,0,0,0,0,0,2287,1459160
